title,scored_by,popularity,members,premiered,genre
"Chiisana Tayori, Ookina Tayori.",18,14076,41,,"Drama, Music"
Bakuon!!,15294,1747,40990,Spring 2016,"Comedy, Seinen, Slice of Life"
Norageki!,4037,4127,7610,,"Mystery, Sci-Fi, Space"
Syupeo Taegwon V,31,12208,137,,"Action, Mecha, Sci-Fi"
Detective Conan: Black History,1575,5014,4666,,"Adventure, Mystery, Comedy, Police, Shounen"
Kara no Kyoukai 3: Tsuukaku Zanryuu,83710,620,134831,,"Action, Mystery, Supernatural, Drama, Thriller"
Ketsuekigata-kun! 3,752,6925,1942,Fall 2015,Comedy
Dainiji Ura Nyuugakushiken The Animation,436,7043,1843,,Hentai
Inferno Cop Specials,525,6822,2034,,"Action, Comedy"
Mori no Kokoro-Koro,11,14278,29,Spring 1994,Fantasy
Hero Company,23,9188,605,,"Comedy, Super Power, Seinen"
Nisekoi: OVA,17855,1957,34353,,"Harem, Comedy, Parody, Magic, Romance, Shounen"
Koneko no Chii: Ponponra Dairyokou,84,8296,984,Spring 2018,Slice of Life
Monster Strike The Movie: Hajimari no Basho e,418,6316,2584,,"Action, Game, Fantasy"
Wakuwaku♥Nukegake Daisakusen,49,12782,111,,"Music, Cars"
Kindaichi Shounen no Jikenbo Movie 1: Operazakan - Aratanaru Satsujin,701,6787,2061,,"Mystery, School, Shounen"
Doteraman,13,12093,142,Fall 1986,"Sci-Fi, Comedy"
Kkureogi Balmyeongwang,16,13204,89,,"Action, Mecha, Sci-Fi, Shounen"
Urayasu Tekkin Kazoku,352,7995,1157,Summer 1998,"Comedy, Shounen"
Crystal Clear,181,10506,296,,"Music, Space"
Ninja-tai Gatchaman ZIP!,36,10559,284,Spring 2011,"Parody, Comedy"
Ippatsu Hicchuu!! Devander,165,9875,412,,"Action, Sci-Fi, Parody, Super Power, Mecha"
"Gyakuten Saiban: Sono ""Shinjitsu"", Igi Ari!",23432,1080,76934,Spring 2016,"Mystery, Comedy, Police, Drama"
Aa! Megami-sama! Movie,18571,2007,32713,,"Comedy, Magic, Romance, Seinen, Supernatural"
Chuunibyou demo Koi ga Shitai! Ren: The Rikka Wars,26579,1531,50296,,"Comedy, Drama, Romance, School, Slice of Life"
Bang Babang Bang!!!,139,10465,301,,Music
Super Zugan,38,10689,264,Fall 1992,"Game, Comedy, Shounen"
Bokutachi no Peace River,17,12506,122,,"Adventure, Drama, Kids, Supernatural"
Fate/Apocrypha: Seihai Taisen Douran-hen,873,4755,5377,,"Action, Drama, Fantasy, Historical, Magic, Supernatural"
Offside,21,11836,157,,"Action, Drama, Sports"
Ai Tenchi Muyou!,5881,2681,19874,Fall 2014,"Comedy, Sci-Fi, Shounen"
Bakumatsu,0,8633,825,,"Action, Historical, Samurai"
Andersen Monogatari,134,9636,468,,"Kids, Fantasy, Drama"
Omake,219,9839,419,,Comedy
Momone,290,8075,1114,,Hentai
Anison Nippon,244,9798,430,,"Action, Sci-Fi"
GS Mikami: Gokuraku Daisakusen!!,645,7339,1586,,"Comedy, Fantasy"
Nijiiro Days: Houkago Special,803,5469,3739,,"Slice of Life, Comedy, Romance, School, Shoujo"
Dive to Blue,233,9741,445,,Music
Biblia Koshodou no Jiken Techou,0,7396,1536,,"Mystery, Drama"
Sword Gai: The Animation,5216,2604,21158,,"Action, Seinen, Supernatural"
Imawa no Kuni no Alice (OVA),10459,2478,22994,,"Action, Psychological, Supernatural, Thriller, Shounen"
Seisen Cerberus: Ryuukoku no Fatalités,23465,1241,65698,Spring 2016,"Adventure, Fantasy"
Happy☆Lesson (TV),9113,2694,19687,Spring 2002,"Comedy, Drama, Harem, Romance, Slice of Life"
Tokyo Magnitude 8.0 Recap,1702,4746,5382,,Drama
School Days: Valentine Days,22011,1847,37468,,"Comedy, Romance, School"
Kagihime Monogatari Eikyuu Alice Rinbukyoku Extra Song,39,11291,195,,"Fantasy, Magic, Music"
Wakakusa Monogatari: Nan to Jo-sensei,1609,5608,3522,Winter 1993,"Drama, Historical, School, Slice of Life"
Ahiru no Pekkle no Aladdin to Mahou no Lamp,52,11156,208,,"Fantasy, Kids"
Shan T Lao Fu Zi,48,12247,137,,"Action, Comedy, Seinen"
Witch Village Story,10,13379,82,Winter 2005,Slice of Life
SM no Susume,87,10027,379,,Hentai
Sora no Manimani,13791,1996,33001,Summer 2009,"Comedy, Romance, School, Slice of Life"
Ai Yori Aoshi: Yumegatari,3664,4041,7972,,"Comedy, Harem, Romance, Slice of Life"
Good-by Marilyn,269,9738,444,,"Dementia, Music"
Tenchi Muyou! Ryououki: Omatsuri Zenjitsu no Yoru!,5527,3617,10379,,"Comedy, Harem, Romance, Sci-Fi, Shounen"
Tsugumomo,24286,1308,62001,Spring 2017,"Action, Comedy, Supernatural, Ecchi, School, Seinen"
Nyanpuku Nyaruma,17,10426,308,Summer 2014,Comedy
Gangsta.,143519,227,286695,Summer 2015,"Action, Drama, Seinen"
Otogizoushi,3183,3382,12204,Summer 2004,"Adventure, Drama, Fantasy, Historical"
Kamiusagi Rope 3,20,11609,171,,"Comedy, Slice of Life"
Hanaukyou Maid-tai,10104,2515,22241,Spring 2001,"Comedy, Ecchi, Harem, Romance"
Seikima II Humane Society: Jinrui Ai ni Michita Shakai,111,10001,384,Winter 2011,"Action, Demons, Supernatural, Fantasy"
Saijaku Muhai no Bahamut,75521,509,158294,Winter 2016,"Action, Harem, Supernatural, Romance, Ecchi, Fantasy, Mecha, School"
Flanders no Inu,851,5707,3377,Winter 1975,"Drama, Historical, Slice of Life"
Ao no Exorcist Movie,78141,570,145681,,"Action, Demons, Fantasy, Shounen, Supernatural"
Joshiraku,21583,1224,66508,Summer 2012,"Slice of Life, Comedy, Shounen"
Tiger & Bunny Recaps,176,8543,869,,"Action, Comedy, Super Power, Mystery"
Major 2nd,421,7910,1206,,"Shounen, Sports"
Petshop of Horrors,20668,1804,39153,Winter 1999,"Horror, Josei, Mystery, Supernatural"
Kousoku Denjin Albegus,301,8439,916,Spring 1983,Mecha
Suzakinishi The Animation,889,5534,3637,Summer 2015,"Slice of Life, Comedy"
Shuukan Shimakou,28,10340,325,Spring 2011,Comedy
Hoshizora e Kakaru Hashi: Kakaru ka? Gakuensai ni Koi no Hashi,11828,2578,21378,,"Comedy, Romance, Ecchi, School"
Shin Reyon Densetsu: Shikkoku no Majin,181,9212,597,,"Adventure, Fantasy, Hentai"
Kowarekake no Orgel Special,4729,3973,8303,,"Sci-Fi, Slice of Life, Drama, Seinen"
Twilight Q,1560,5272,4089,,"Mystery, Psychological, Sci-Fi"
Tiger Mask (Movie),92,9776,436,,"Sports, Shounen"
Sekkou Boys,14871,1962,34154,Winter 2016,"Music, Comedy"
Hitsugi no Chaika: Avenging Battle,68682,692,122882,Fall 2014,"Action, Adventure, Comedy, Romance, Fantasy"
Wakusei Daikaiju Negadon,504,8383,948,,"Action, Fantasy, Mecha, Military, Sci-Fi, Space"
"Attakai, Fuyu Canada",144,9994,387,,Slice of Life
Riki-Oh: Toukatsu Jigoku,817,7042,1840,,"Action, Martial Arts, Super Power, Seinen"
Kage kara Mamoru!,9127,2704,19507,Winter 2006,"Comedy, Romance, Shounen"
Yokujou Bazooka The Animation,1327,5733,3334,,Hentai
Happy Seven: The TV Manga - Chibi Chara Moshimo Gekijou,8,12491,123,,"Comedy, Parody, Fantasy"
Spring has come!,16,14043,45,,Music
Sentou Yousei Shoujo Tasukete! Mave-chan,1006,6425,2460,,"Parody, Comedy, Super Power, Sci-Fi, Shounen"
Doraemon Movie 09: Nobita no Parallel Saiyuuki,819,7268,1647,,"Adventure, Fantasy, Kids, Sci-Fi, Shounen"
Overlord III,12,1355,60107,Summer 2018,"Action, Adventure, Fantasy, Game, Magic, Supernatural"
Kochira Katsushikaku Kameari Kouenmae Hashutsujo The Movie,372,8230,1023,,"Action, Comedy, Mystery, Police"
Inazuma Eleven: Ares no Tenbin,1010,3780,9359,Spring 2018,Sports
Shinmai Maou no Testament Departures,5551,2457,23386,,"Action, Ecchi, Fantasy, Harem, Romance, Demons"
Konjiki no Gash Bell!!: Ougon no Chichi wo Motsu Otoko,974,6426,2454,,"Action, Adventure, Comedy, Ecchi, Kids, Magic, Romance, Super Power, Supernatural"
Okusama wa Moto Yariman,2234,4763,5332,,Hentai
Yume no Jidousha,15,12187,137,,Cars
Hanbun no Tsuki ga Noboru Sora,38711,1100,75084,Winter 2006,"Comedy, Drama, Romance"
Vampire Holmes,3976,3362,12458,Spring 2015,"Mystery, Comedy, Supernatural"
Starmyu OVA,1373,4995,4716,,"Music, Slice of Life, School"
Yahabe,22,12701,114,,"Game, Shounen, Supernatural"
Yuyushiki,25828,1235,65794,Spring 2013,"Comedy, School, Seinen, Slice of Life"
Kagami,65,11672,168,,Romance
Energy Kyouka!!,2596,4438,6347,Spring 2015,Hentai
Juushin Liger,106,8678,807,Spring 1989,"Action, Mecha, Sci-Fi"
Dr. Slump: Arale-chan - Penguin Mura Eiyuu Densetsu,63,10223,341,,"Sci-Fi, Comedy, Shounen"
Mobile Suit Gundam SEED: After-Phase Between the Stars,5741,3552,10885,,"Action, Mecha, Drama, Sci-Fi"
Yattokame Tanteidan,16,11248,199,Fall 2007,"Kids, Mystery, Slice of Life"
Arslan Senki,3877,3194,14019,Spring 2015,"Action, Adventure, Drama, Fantasy, Historical"
Kyoufu! Zombie Neko,22,8294,988,Fall 2015,Comedy
Jigazou,844,7599,1400,,Comedy
Koutetsu Sangokushi Special,180,8930,701,,"Historical, Shounen"
"Chiisana Obake Acchi, Kocchi, Socchi",455,7653,1366,Spring 1991,"Comedy, Supernatural"
Mirakururun Grand Purin!,90,11326,193,,"Kids, Music"
Hokuro Kyoudai Full Throttle!!!!,43,11497,180,,Comedy
Ore to Issho ni Training,7,13078,95,,Slice of Life
Kirin Hyoketsu: Atarashiku Ikou Animation Movie,260,9235,589,,Slice of Life
Ketsuekigata-kun! 4,667,7144,1748,Winter 2016,Comedy
Boku wa Mada 7-sai Datta,51,13320,84,,Music
Nouryou Anime: Denkyuu Ika Matsuri,191,10096,368,,"Psychological, Dementia, Horror"
Otome Chic,139,10814,248,,Music
Tanuki to Kitsune Specials,0,12305,132,,Comedy
Kodomo no Jikan Recap,4341,3761,9487,,"Comedy, Ecchi, School"
TOHO Cinemas x One Piece Film: Gold - Tokubetsu Eizou,428,7415,1528,,"Fantasy, Shounen"
Cofun Gal no Coffy: Okehazama no Tatakai,12,12957,101,,"Parody, Comedy, Historical"
Paniponi Dash!,15271,1666,44171,Summer 2005,"Comedy, Parody, School"
Doraemon Movie 35: Nobita no Space Heroes,367,8550,865,,"Comedy, Kids, Shounen, Space"
Blue Remains,118,9663,462,,"Adventure, Sci-Fi"
Isaku,422,7917,1197,,Hentai
Cinnamon the Movie,118,9123,630,,Fantasy
Giant Robo,79,10488,296,,"Action, Mecha"
Pokemon: Pikachu no Wanpaku Island,3490,4210,7285,,"Adventure, Comedy, Fantasy, Kids"
Sengoku Bushou Retsuden Bakufuu Douji Hissatsuman,21,11759,162,,"Action, Adventure, Mecha"
Elf wo Karu Mono-tachi,7366,2951,16342,Fall 1996,"Adventure, Comedy, Ecchi, Fantasy, Magic, Shounen"
Tekusuke Monogatari,57,12044,145,,Historical
Flying Babies,0,10683,265,,
Oniichan dakedo Ai sae Areba Kankeinai yo ne!,73907,510,157719,Fall 2012,"Comedy, Ecchi, Harem, Romance, School"
Ashita no Yukinojou,494,6981,1891,,"Hentai, Romance, School, Sports"
Umigame to Shounen,19,11859,156,,"Drama, Historical"
"Kinyoru, Abe Reiji: Heikinteki na Salaryman no Ijou na Nichijou",50,10404,313,Summer 2015,Comedy
Shitai wo Arau The Animation,605,7172,1726,,Hentai
Kunoichi Sakuya,506,7380,1550,,Hentai
3x3 Eyes Seima Densetsu,5410,3650,10206,,"Action, Adventure, Demons, Fantasy, Horror, Romance"
Moyashimon Returns,9518,2757,18646,Summer 2012,"Comedy, School, Supernatural"
Inochi Kagayaku Akari,8,13499,76,,"Drama, Kids"
Riki-Oh 2: Horobi no Ko,460,8251,1013,,"Action, Martial Arts, Super Power, Seinen"
Hikaru no Go,39814,1001,84288,Fall 2001,"Comedy, Game, Shounen, Supernatural"
Minna Atsumare! Falcom Gakuen SC,460,7041,1843,Winter 2015,"Parody, Comedy, School, Seinen"
GetBackers,37283,985,86095,Fall 2002,"Action, Comedy, Drama, Mystery, Shounen, Super Power, Supernatural"
47 Todoufuken,47,11277,197,Spring 2011,"Kids, Comedy"
Koori no Kuni no Misuke,21,12099,142,,"Adventure, Kids"
Boku no Yayoi-san,1188,5899,3085,,Hentai
Devilman: Crybaby,102848,424,183612,,"Action, Horror, Demons, Supernatural"
Uchuu Kaizoku Mito no Daibouken Pilot,35,11436,187,,"Comedy, Sci-Fi"
Sentou Yousei Yukikaze,4775,3400,12077,,"Action, Drama, Military, Psychological, Sci-Fi, Space"
Yuuki Yuuna wa Yuusha de Aru: Yuusha no Shou,5802,2674,19994,Fall 2017,"Slice of Life, Drama, Magic, Fantasy"
Sasami-san@Ganbaranai,21162,1261,64566,Winter 2013,"Comedy, Romance, Supernatural"
Soukou Kihei Votoms: Case; Irvine,910,6881,1975,,"Action, Drama, Mecha, Military, Sci-Fi"
Pi Po Pa Po Patrol-kun,27,11195,202,Winter 2001,"Comedy, Kids"
Digimon Adventure tri. 2: Ketsui,26454,1581,47685,,"Action, Adventure, Comedy, Drama"
Gedou Gakuen,333,8212,1032,,"Hentai, Supernatural"
Elf 17,370,8607,838,,"Adventure, Martial Arts, Comedy, Mecha"
Gunslinger Stratos: The Animation - Bunki/Futatsu no Mirai,492,6844,2012,,"Action, Sci-Fi"
Etotama 2,0,6544,2320,,"Action, Comedy, Fantasy"
Babel Nisei (2001),632,6936,1933,Fall 2001,"Action, Adventure, Supernatural, Mystery, Sci-Fi, Shounen"
Zannen Onna Kanbu Black General-san,94,8237,1025,,"Comedy, Super Power, Shounen"
Gokudou Sakaba Denden: Gokudou Daisensou Gaiden,11,12993,99,,Comedy
Kita e.: Diamond Dust Drops Special,333,8413,930,,"Drama, Slice of Life"
Tobe! Isami,380,7961,1176,Spring 1995,"Action, Adventure, Comedy, Romance, Shounen"
Texhnolyze,29726,661,126584,Spring 2003,"Action, Sci-Fi, Psychological, Drama"
Hinata no Aoshigure,4501,3498,11262,,"Adventure, Fantasy, Romance"
Ichigo Mashimaro Encore,8031,3140,14400,,"Comedy, Slice of Life"
Tsuki ga Kirei Recap,4433,4002,8139,,"Romance, School"
Idaten Jump,2060,5289,4047,Fall 2005,"Game, School, Sports"
Warai Kawasemi ni Hanasu na yo,5,14340,26,,"Music, Kids"
Himitsukessha Taka no Tsume The Movie II: Watashi wo Aishita Kuro Oolong-Cha,34,11395,186,,"Comedy, Parody, Super Power"
Negima!? Natsu Special!?,7163,3167,14216,,"Ecchi, Fantasy, Comedy, Romance"
Okusama wa Mahoutsukai,722,6827,2028,,Hentai
M3: Sono Kuroki Hagane,13314,1645,44827,Spring 2014,"Action, Sci-Fi, Mystery, Psychological, Drama, Mecha"
Mikakunin de Shinkoukei,92924,403,189273,Winter 2014,"Slice of Life, Comedy, Romance, School"
Hoshizora e Kakaru Hashi,59216,783,110064,Spring 2011,"Comedy, Ecchi, Harem, Romance, School"
Alexandros no Ketsudan,58,10417,307,,Historical
Tantei Gakuen Q,8961,2639,20520,Spring 2003,"Comedy, Drama, Mystery, Police, Shounen"
Mukougaoka Chisato wa Tada Mitsumeteita no Datta,630,8153,1065,,Music
"Shin Kimagure Orange☆Road: Soshite, Ano Natsu no Hajimari",2318,4816,5178,,"Ecchi, Slice of Life, Fantasy, Magic, Comedy, Romance, Drama, Shounen"
Kyoukai no Rinne (TV),20118,1336,60687,Spring 2015,"Comedy, Supernatural, Romance, School, Shounen"
Renzu: Futari no Kyori,245,8849,729,,Hentai
Karasu Tengu Kabuto: Ougon no Me no Kemono,346,8554,864,,"Action, Adventure, Drama, Historical"
Document Taiyou no Kiba Dagram,96,9833,420,,"Drama, Mecha, Military, Sci-Fi, Shounen"
Noobow: Kieta Medal,9,13113,92,,"Kids, Slice of Life"
Onigiri,6056,2705,19483,Spring 2016,"Comedy, Supernatural, Fantasy"
Happy ComeCome,248,8376,950,,"Slice of Life, Comedy, Sci-Fi"
Kamichu!,12638,1774,40177,Summer 2005,"Comedy, Drama, Slice of Life, Supernatural"
Kimi no Koe wo Todoketai,324,3094,14783,,Drama
Mahou no Hiroba,149,10717,261,,"Music, Fantasy"
Hana no Zundamaru: Junk,37,12312,131,,"Martial Arts, Comedy, Parody"
Yoshimoto Muchikko Monogatari,18,12285,133,Fall 1998,Comedy
Cencoroll 2,0,2815,17914,,"Action, Sci-Fi"
Kinnikuman II Sei: Ultimate Muscle,1776,5593,3539,Spring 2004,"Action, Comedy, Martial Arts, Sci-Fi, Shounen, Sports"
Kobato.: Hajimete no Kobato.,2442,4270,6973,,"Fantasy, Comedy, Drama"
Himitsu Spark,408,9018,671,,Music
Maroko,108,9300,563,,"Sci-Fi, Comedy, Psychological, Drama"
Kana Kana Kazoku: Stop Rubella,35,12343,131,,Comedy
AIKa,9984,2606,21038,,"Action, Ecchi, Adventure, Comedy, Sci-Fi"
Peace Maker Kurogane,17560,1756,40681,Fall 2003,"Action, Comedy, Historical, Samurai, Shounen"
Weiß Kreuz,5601,3149,14333,Spring 1998,"Action, Drama, Shounen"
Crayon Shin-chan Movie 06: Dengeki! Buta no Hizume Daisakusen,916,6970,1904,,"Slice of Life, Comedy, Ecchi, School, Seinen"
Ari Ningen Monogatari,170,10426,305,,Fantasy
Tokyo Girls Collection 2016 A/W x Osomatsu-san Special Movie,42,9964,394,,Comedy
Gegege no Kitarou: Obake Nighter,60,10251,336,,"Adventure, Fantasy, Sports, Comedy, Supernatural, Horror"
Haiyoru! Nyaruani,9186,2550,21763,,"Comedy, Parody, Sci-Fi"
Penguin no Mondai DX?,16,12320,132,Spring 2011,"Comedy, Kids"
Kidou Keisatsu Patlabor,5232,3236,13561,,"Sci-Fi, Comedy, Police, Mecha"
Penguin Musume♥Heart Special,1210,6125,2801,,"Comedy, Ecchi, School, Slice of Life"
Channel 5.5 Prologue: Shin Bangumi Start!,49,11137,209,,Comedy
Nezumi Monogatari: George to Gerald no Bouken,221,9225,593,,"Adventure, Kids"
Ariel Visual,305,8501,886,,"Action, Comedy, Mecha, Sci-Fi"
Kujibiki Unbalance,4363,3814,9180,,"Comedy, Romance, School"
Higashi no Eden: Air Communication,9221,2422,23931,,"Mystery, Comedy, Romance"
DJ Nobunaga,11,13151,91,,Historical
Uwabaki Cook no Tekitou Uranai!,13,11978,150,Winter 2015,Comedy
Denpa Onna to Seishun Otoko,85111,406,188580,Spring 2011,"Sci-Fi, Slice of Life, Comedy"
Sayonara Zetsubou Sensei,87733,351,213583,Summer 2007,"Comedy, Parody, School"
Dance in the Vampire Bund,74236,540,149764,Winter 2010,"Action, Supernatural, Vampire"
Lost Universe,4595,3539,10943,Spring 1998,"Adventure, Comedy, Drama, Sci-Fi, Shounen, Space"
Baka to Test to Shoukanjuu: Matsuri,50349,999,84469,,"Comedy, School, Super Power"
Ryuugajou Nanana no Maizoukin (TV),63203,606,137852,Spring 2014,"Adventure, Mystery, Comedy, Supernatural"
Nagagutsu Sanjuushi,341,9008,675,,"Kids, Adventure, Fantasy"
Digimon Adventure tri. 6: Bokura no Mirai,3073,3199,14207,,"Action, Adventure, Comedy, Drama"
Gakuen Heaven: Hamu Hamu Heaven,2691,4630,5696,,"Comedy, Drama, Romance, School, Shounen Ai"
Chikyuu Bouei Kigyou Dai-Guard,1950,4598,5782,Fall 1999,"Adventure, Comedy, Mecha, Military, Sci-Fi"
Turn A Gundam,8628,2334,25400,Spring 1999,"Action, Military, Sci-Fi, Adventure, Space, Drama, Romance, Mecha"
Yuri Kuma Arashi,21127,1283,63673,Winter 2015,"Psychological, Drama, Fantasy, School, Seinen, Shoujo Ai"
Pokemon Diamond & Pearl: Giratina to Sora no Hanataba Sheimi,26252,1717,42418,,"Action, Adventure, Fantasy, Kids"
Fune wo Amu,19847,1434,55367,Fall 2016,"Slice of Life, Drama, Romance"
Slayers Try,21799,1836,38030,Spring 1997,"Adventure, Comedy, Demons, Magic, Fantasy, Shounen"
Lu Shidai,878,5663,3432,,"Action, Game, Adventure, Comedy, Parody"
lilac (bombs Jun Togawa),208,10086,371,,Music
Ixion Saga DT,28197,1186,69211,Fall 2012,"Action, Comedy, Fantasy"
Kara no Kyoukai: Mirai Fukuin - Extra Chorus,11176,2572,21462,,"Drama, Mystery, Seinen, Supernatural"
Mahou no Princess Minky Momo vs. Mahou no Tenshi Creamy Mami,300,8782,763,,"Magic, Shoujo"
Hibari no Yadogae,365,9025,666,,Action
Fuki to Hiyoko,62,12362,130,,"Music, Kids"
Neo Faust,64,10997,225,,Supernatural
Koroshiya 1 The Animation: Episode 0,3309,4316,6736,,"Action, Dementia, Drama, Horror, Martial Arts, Psychological, Seinen"
Starship Troopers: Traitor of Mars,261,9499,512,,"Action, Military, Sci-Fi"
Yuusei Shounen Papii,58,10215,342,Summer 1965,"Action, Sci-Fi, Space, Super Power"
Frame Arms Girl 2nd Season,0,7562,1424,,"Action, Sci-Fi, Slice of Life, Mecha"
Lupin III: Fuuma Ichizoku no Inbou,2433,4813,5184,,"Action, Adventure, Mystery, Comedy, Seinen"
Rara Maji,74,10951,230,,"Fantasy, Game, Magic, Music"
Beads no Mori no Rabi,7,13448,77,Spring 2015,"Kids, Magic"
Daiyoshi P Produce Ashita no Jobuubu,16,13467,77,,"Slice of Life, Comedy, Parody"
Kedamono Damono,358,8071,1116,,"Music, Demons"
Issunboushi (OVA),545,7509,1461,,Hentai
Digimon Savers the Movie: Kyuukyoku Power! Burst Mode Hatsudou!!,4315,3786,9338,,"Action, Adventure, Comedy, Fantasy, Shounen"
Nobunaga no Shinobi: Anegawa Ishiyama-hen,525,5522,3657,Spring 2018,"Comedy, Historical"
Kiku-chan to Ookami,26,11485,180,,"Adventure, Historical"
Hellsing I: Digest for Freaks,8996,2321,25625,,"Action, Super Power, Military, Supernatural, Horror, Vampire, Seinen"
Hello Kitty no Yuubinya-san Arigatou,36,11829,157,,"Kids, Fantasy"
Yumekui Merry,48447,838,103519,Winter 2011,"Action, Supernatural"
Bakuhatsu Gorou,27,10598,274,Spring 1970,"Comedy, Sports"
Amaryllis,17,14022,45,,Music
Little Charo,31,11102,213,Spring 2008,Slice of Life
Zettai Muteki Raijin-Oh,221,8612,837,Spring 1991,"Adventure, Mecha, School, Sci-Fi"
Pokemon the Movie XY&Z: Volcanion to Karakuri no Magearna,3747,3975,8311,,"Adventure, Fantasy, Kids"
Piano,2373,4375,6505,Fall 2002,"Music, Slice of Life, Drama, Romance, Shoujo"
Super Real Mahjong: Mahjong Battle Scramble - Konran-teki Sento Mahjong,22,11119,212,,"Comedy, Ecchi, Fantasy, Game"
Terra Formars: Bugs 2-hen,14674,2290,26153,,"Action, Horror, Sci-Fi, Space"
Sakura Yori Ai wo Nosete,55,12373,129,,Kids
Domo TV,431,8283,994,,Comedy
Les Misérables: Shoujo Cosette,3427,3275,13247,Winter 2007,"Slice of Life, Historical, Drama, Shoujo"
Relic Armor Legaciam,401,8482,894,,"Action, Mecha, Sci-Fi"
Unko-san: Tsuiteru Hito ni Shika Mienai Yousei Junjou Ha,16,12251,135,Winter 2010,"Comedy, Magic"
ChäoS;HEAd,116277,344,215143,Fall 2008,"Harem, Mystery, Psychological, Sci-Fi, Supernatural"
Mazinkaiser,2617,4551,5972,,"Adventure, Comedy, Mecha, Sci-Fi, Shounen"
Himitsukessha Taka no Tsume Countdown Specials,12,13388,81,,"Comedy, Parody, Super Power"
Jungle Book Shounen Mowgli,2136,5391,3860,Fall 1989,"Adventure, Drama"
Chuunibyou demo Koi ga Shitai!,323215,63,561998,Fall 2012,"Slice of Life, Comedy, Drama, Romance, School"
Junai Maniac,882,6315,2581,,Hentai
Kochira Katsushikaku Kameari Kouenmae Hashutsujo: Mezase! Kameari Superstar!! Ryoutsu-shiki Aidoru h,27,10893,235,,"Comedy, Police"
Mob Psycho 100: Reigen - Shirarezaru Kiseki no Reinouryokusha,6196,2350,25216,,"Action, Slice of Life, Comedy, Supernatural"
Ona x2,489,7773,1279,,Hentai
Choboraunyopomi Gekijou Ai Mai Mii,9454,2547,21824,Winter 2013,"Comedy, Slice of Life"
Zoids,17277,2000,32899,Fall 1999,"Action, Adventure, Comedy, Mecha, Sci-Fi"
Matantei Loki Ragnarok,12109,2173,28585,Spring 2003,"Comedy, Magic, Mystery, Shounen, Supernatural"
Yuusha Tokkyuu Might Gaine,283,7502,1466,Winter 1993,"Action, Adventure, Mecha, Sci-Fi"
Kyoudai Koguma,39,13243,87,,Adventure
Love Live! School Idol Project 2nd Season,79740,599,138715,Spring 2014,"Music, School, Slice of Life"
Gangsta. Recap,7178,3270,13258,,"Action, Drama, Seinen"
Yamato yo Towa ni,546,7203,1695,,"Action, Military, Sci-Fi, Adventure, Space, Drama"
Chikan Monogatari,1365,5592,3542,,Hentai
Tsubo,66,12532,122,,Fantasy
Umi no Triton (1979),104,10249,336,,"Adventure, Fantasy, Shounen"
Minami-ke Omatase,9169,2805,18024,,"Comedy, Slice of Life"
The Urotsuki,583,6906,1956,,"Adventure, Fantasy, Hentai, Demons, Horror"
Tatsunoko Pro x Peeping Life,26,12116,141,,"Comedy, Slice of Life"
Shangri-La (Music),51,12878,107,,Music
Dr. Slump: Arale-chan &#039;92 Oshougatsu Special,60,10269,334,,"Sci-Fi, Comedy, Shounen"
Lady Georgie,2428,4717,5439,Spring 1983,"Drama, Historical, Romance, Shoujo"
Sore Ike! Anpanman: Utatte Teasobi! Anpanman to Mori no Takara,19,11934,152,,"Comedy, Fantasy, Kids"
Tantei Shounen Kageman,10,12328,131,Spring 2001,"Comedy, Mystery"
Wingcle Bear Hamkkehaneun Lomentig Hwaiteudei,47,12655,117,,Magic
Antique Heart,288,8711,790,,"Magic, Mystery, School"
Ze Tian Ji 3rd Season,19,11084,217,,"Action, Adventure, Fantasy"
Gregory Horror Show,750,6887,1972,Fall 1999,"Mystery, Comedy, Horror, Demons, Supernatural, Vampire"
Tekken: Blood Vengeance,9885,3038,15287,,"Action, Fantasy, Martial Arts, Sci-Fi, Supernatural"
Peeping Life: The Perfect Explosion,63,10514,293,,"Comedy, Slice of Life"
Milky Panic twelve,0,11240,200,,
Learn to Love,11,12344,129,,Dementia
Koinu no Blue,17,14110,39,,Music
Taka no Tsume x Megane Super,12,13567,73,,Samurai
Doraemon Meets Hattori the Ninja,394,8276,995,,"Comedy, Kids, Sci-Fi, Shounen"
High☆Speed!: Free! Starting Days,14324,1825,38443,,"School, Slice of Life, Sports"
"Lies, Lies.",129,10909,234,,Music
Fetish Doll,632,8203,1036,,Dementia
Choujuu Kishin Dancougar: Ushinawareta Monotachi e no Requiem,310,8628,829,,"Action, Drama, Mecha"
Yami Shibai 4,5580,3472,11470,Winter 2017,"Dementia, Horror, Supernatural"
Neko Hiki no Ororane,44,10721,260,Summer 2013,Fantasy
True Tears: Raigomaru to Jibeta no Monogatari,2631,4576,5872,,Kids
Uchuu no Stellvia,7286,2836,17627,Spring 2003,"Action, Romance, Sci-Fi, Space"
Tomica Hyper Rescue Drive Head: Kidou Kyuukyuu Keisatsu Movie,0,12633,117,,"Sci-Fi, Adventure, Police, Mecha"
Harem Time The Animation,4660,3536,11002,,"Harem, Hentai"
Bible Black Gaiden,9380,2853,17441,,"Hentai, Supernatural"
Asylum Session,733,5897,3078,,"Sci-Fi, Seinen"
Koroshiya-san: The Hired Gun,1948,4785,5270,Fall 2013,"Action, Comedy, Police, Seinen, Thriller"
Five Card,288,8479,897,Spring 2011,"Comedy, Hentai, School"
