title,scored_by,popularity,members,premiered,genre
Gintama.: Shirogane no Tamashii-hen,14981,1724,42265,Winter 2018,"Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen"
Gun-dou Musashi,476,4956,4777,Spring 2006,"Adventure, Samurai, Fantasy"
Yaseruyagi,36,13009,100,,
Galactic Patrol Lensman,113,8990,680,Fall 1984,"Action, Adventure, Sci-Fi"
Denki-gai no Honya-san,34590,1035,80620,Fall 2014,"Comedy, Seinen, Slice of Life"
MaxValu Kyushu,16,14097,40,,Slice of Life
Uchi no 3 Shimai,38,10281,334,Spring 2008,"Comedy, Slice of Life"
Kuroko no Basket: Oshaberi Demo Shimasen ka,5239,3379,12252,,"Comedy, Sports, School, Shounen"
Cross Road,18944,1904,36029,,"Slice of Life, School"
Hourou Musuko Specials,2401,4512,6066,,"Drama, School"
Koi to Uso OVA,1,3975,8329,,"Drama, Romance, School"
Esper Mami: Hoshizora no Dancing Doll,86,10402,311,,"Fantasy, Shounen"
Carol & Tuesday,0,7948,1180,Spring 2019,"Drama, Music, Romance"
"Akai Shouzou: Char, Soshite Frontal e",220,8265,1004,,"Drama, Mecha, Military, Sci-Fi, Shounen, Space"
Gakkatsu! 2nd Season,308,7605,1399,Winter 2013,"Comedy, School"
Tsuru no Sugomori,6,13378,82,,Kids
Selector Infected WIXOSS,44138,856,101587,Spring 2014,"Game, Psychological"
Hane (2016),106,11421,186,,Music
Gokujo.: Gokurakuin Joshikou Ryou Monogatari,8677,2624,20817,Winter 2012,"Comedy, Ecchi, School, Seinen, Shoujo Ai"
Bannou Bunka Neko-Musume Specials,433,8070,1118,,"Action, Adventure, Comedy, Mecha, Sci-Fi, Seinen"
Ultra B,50,11377,189,Spring 1987,"Comedy, Super Power"
Saint ��Oniisan (Movie),20831,1690,43396,,"Comedy, Seinen, Slice of Life"
Makai Tenshi Djibril,2750,4312,6747,,Hentai
Supernatural The Animation,6103,2509,22360,,"Action, Demons, Horror, Supernatural"
Soukan Yuugi,2481,4672,5597,,Hentai
Andromeda Stories,318,8226,1027,,"Action, Drama, Fantasy, Sci-Fi, Space"
Houkago Initiation,942,6123,2803,,Hentai
ACCA: 13-ku Kansatsu-ka,32925,1064,77826,Winter 2017,"Mystery, Police, Drama, Fantasy, Seinen"
Future GPX Cyber Formula: Early Days Renewal,88,9896,406,,"Drama, Sci-Fi, Shounen, Sports"
Dennou Sentai Voogie Angel Gaiden: Susume! Super Angels!,23,11653,168,,"Action, Comedy, Mecha, Parody, Sci-Fi"
Gokuu no Daibouken,83,9959,394,Winter 1967,"Comedy, Fantasy"
Kitty to Daniel no Suteki na Christmas,11,13330,84,Spring 2015,Kids
Alice to Zouroku,27215,1135,72634,Spring 2017,"Adventure, Mystery, Seinen"
Micchiri Neko,1228,5286,4052,Winter 2018,"Comedy, Kids"
Slayers,42588,949,89198,Spring 1995,"Adventure, Comedy, Demons, Magic, Fantasy"
Seikaisuru Kado,25496,1133,72747,Spring 2017,Sci-Fi
Dragon Ball Super,102780,278,250101,Summer 2015,"Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power"
Genshiken Nidaime Specials,1668,4881,4981,,"Comedy, Parody, Slice of Life"
Shinshaku Sengoku Eiyuu Densetsu: Sanada Juu Yuushi The Animation,131,7949,1178,Spring 2005,"Action, Comedy, Historical, Military, Samurai"
Shiro Hon,8,13509,76,Spring 2007,"Adventure, Kids"
Yama no Susume,14762,1842,37639,Winter 2013,"Adventure, Slice of Life, Comedy"
Kuroinu: Kedakaki Seijo wa Hakudaku ni Somaru,6748,3031,15385,Spring 2015,"Action, Fantasy, Hentai"
Princess Principal,33779,922,92722,Summer 2017,"Action, Mystery, Historical"
Nyanpire The Animation,11034,2572,21460,Summer 2011,"Comedy, Supernatural, Vampire"
Kira Kira 5th Anniversary Live Anime: Kick Start Generation,579,7323,1599,Spring 2015,Music
Tenpou Ibun: Ayakashi Ayashi,3288,3394,12136,Fall 2006,"Supernatural, Demons, Historical"
